date,interval,timestamp,purchase_kwh,adjusted_purchase_kwh,load_kwh,pv_kwh,price_yuan_per_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,soc_start_kwh,soc_end_kwh,alpha,gain,forecast_next_net_kwh
2025-02-03,136,2025-02-03 22:40:00,576.9728666666666,576.9728666666666,567.9212833333333,0.0,0.4241,9.051583333333232,0.0,0.0,3.730349362740526e-14,1783.3331457962765,1791.4795707962764,0.0,0.0,583.9466363054386
2025-02-03,137,2025-02-03 22:50:00,598.7158333333333,598.7158333333333,542.62,0.0,0.4237,56.09583333333325,0.0,0.0,4.973799150320701e-14,1791.4795707962764,1841.9658207962764,0.0,0.0,551.0303373550425
2025-02-03,138,2025-02-03 23:00:00,549.4464166666666,555.017743710317,577.0157333333333,0.0,0.4248,0.0,21.997989623016405,0.0,6.750155989720952e-14,1841.9658207962764,1817.523610104036,0.0,0.0,561.760777043528
2025-02-03,139,2025-02-03 23:10:00,589.9329833333334,589.9329833333334,567.5697,0.0,0.424,22.363283333333282,0.0,0.0,7.460698725481052e-14,1817.523610104036,1837.6505651040359,0.0,0.0,608.1280712797471
2025-02-03,140,2025-02-03 23:20:00,597.0310556666667,597.0310556666667,515.6166666666667,0.0,0.422,81.41438900000013,0.0,9.947598300641403e-14,0.0,1837.6505651040359,1910.923515204036,0.0,0.0,611.4274829894478
2025-02-03,141,2025-02-03 23:30:00,600.8472833333333,600.8472833333333,533.1497833333334,0.0,0.424,67.6974999999998,0.0,0.0,7.105427357601002e-14,1910.923515204036,1971.8512652040358,0.0,0.0,601.97555803476
2025-02-03,142,2025-02-03 23:40:00,608.6716500000001,608.6716500000001,579.5267,0.0,0.4271,29.144950000000133,0.0,2.4868995751603507e-14,0.0,1971.8512652040358,1998.081720204036,0.0,0.0,583.3841531500078
2025-02-03,143,2025-02-03 23:50:00,579.6274999999998,579.6274999999998,592.2033333333333,0.0,0.4276,0.0,12.575833333333481,0.0,4.618527782440651e-14,1998.081720204036,1984.1085720558876,0.0,0.0,0.0
2025-02-04,0,2025-02-04 00:00:00,1421.5860333333335,1421.5860333333335,556.1025333333333,0.0,0.4248,833.3333333333333,0.0,0.0,32.150166666666905,1984.1085720558876,2734.1085720558876,0.0,0.0,598.384549954672
2025-02-04,1,2025-02-04 00:10:00,1424.9823083333333,1424.9823083333333,568.1499333333334,0.0,0.4245,833.3333333333333,0.0,0.0,23.4990416666667,2734.1085720558876,3484.1085720558876,0.0,0.0,587.5428880921173
