variant,date,total_fee,initial_plan_fee,increase_fee,refund,cancel_penalty,emergency_fee,emergency_kwh,unused_kwh,start_soc,end_soc,fallbacks
q2_cvar,2025-04-04,11214.956773158405,11172.931743587134,0.0,0.0,0.0,42.02502957126794,24.028032916671798,18929.636533020486,1679.2421489489025,1689.9875497842504,0
q2_cvar,2025-04-05,11527.44939049083,11384.163861939094,0.0,0.0,0.0,143.2855285517352,82.92028609695952,14060.643343243844,1689.9875497842504,1252.7348324229897,0
q2_cvar,2025-04-06,40148.22093447966,40148.220934479614,0.0,0.0,0.0,5.012349557631524e-11,1.2463807763651856e-11,6448.494292900825,1252.7348324229897,1845.3971864395935,0
q2_cvar,2025-04-07,39098.76189720819,39098.76189720818,0.0,0.0,0.0,3.7572254196760465e-11,9.638068121375907e-12,7180.924925244474,1845.3971864395935,1732.8062927513222,0
q2_cvar,2025-04-08,38428.8881808712,38360.77678502108,0.0,0.0,0.0,68.11139585011786,29.78198331880221,5051.715394135819,1732.8062927513222,1200.0,0
q2_cvar,2025-04-09,40710.47511608169,38115.218190928455,0.0,0.0,0.0,2595.256925153246,595.6126533353342,154.5822003968435,1200.0,1345.2688343566974,0
q2_cvar,2025-04-10,38579.89371377463,38579.89371377458,0.0,0.0,0.0,4.832946742805433e-11,1.2299383733704872e-11,4203.688207374163,1345.2688343566974,1659.3109749214796,0
q2_cvar,2025-04-11,11016.173414118844,11016.17341411883,0.0,0.0,0.0,1.2327437196035797e-11,4.7993553575764736e-12,19752.190193447645,1659.3109749214796,1465.9587697971758,0
q2_cvar,2025-04-12,10952.384190453597,10952.384190453571,0.0,0.0,0.0,2.454786263150765e-11,7.635225784952127e-12,16182.023939412107,1465.9587697971758,1783.0987649268304,0
q2_cvar,2025-04-13,37635.094661220726,37635.09466122066,0.0,0.0,0.0,5.77434438042701e-11,1.4384937685463228e-11,3187.9601953130555,1783.0987649268304,1740.4181203301132,0
