date,evaluation,start_soc_kwh,end_soc_kwh,solver_status,planner_fallback,solver_gap,solver_objective,terminal_penalty_yuan,solve_seconds,purchase_kwh,charge_kwh,discharge_kwh,emergency_kwh,unused_kwh,plan_cost_yuan,emergency_cost_yuan,dispatch_fallback,total_cost_yuan
2025-06-14,True,1200.0,1200.0,Optimal,False,0.0,22026.067861583517,1980.2666666666667,0.04780489999393467,35143.67277839506,12184.138211728396,9869.151951499996,1139.8164318333368,7775.160199999999,20045.80119491685,5002.607449641268,0,25048.40864455812
2025-06-15,True,1200.0,1435.3836851851838,Optimal,False,1.483820379759703e-16,49035.299106497834,1980.2666666666667,0.03905259999737609,76289.04489279835,20745.958888065845,16592.38138266667,2141.3837839999983,3649.876838065841,47055.03243983117,10349.360052642323,0,57404.3924924735
2025-06-16,True,1435.3836851851838,1200.0,Optimal,False,0.00032399596887707746,48405.162738147774,1980.2666666666667,0.020129899989115074,75426.54489547324,21785.043857818928,17857.730841499997,3027.6911251666684,1832.8701876543212,46424.89607148111,13112.513363540591,0,59537.409435021706
2025-06-17,True,1200.0,1200.0,Optimal,False,0.0,49360.98615793561,1980.2666666666667,0.030895500007318333,76852.38854545061,20916.062195061724,16942.010377999995,3715.720177166671,1957.0456888888875,47380.719491268945,16693.610109488105,0,64074.329600757046
2025-06-18,True,1200.0,1280.9843148148148,Optimal,False,1.5412818291662863e-06,51613.89380680833,1980.2666666666667,0.018662699993001297,79963.60059999999,20903.31032201646,16858.7954775,671.0730558333345,5661.7679113168715,49633.62714014167,3012.1299911612546,0,52645.75713130292
2025-06-19,True,1280.9843148148148,1200.0,Optimal,False,0.0005284575033570802,48844.794096064754,1980.2666666666667,0.01870499999495223,75902.19089691358,20814.74805452675,16932.8318075,1631.0766924999984,5391.847142386832,46864.52742939809,6969.752407578741,0,53834.279836976835
2025-06-20,True,1200.0,1237.003166666668,Optimal,False,0.0,20961.2124372263,1980.2666666666667,0.06258800000068732,33104.40838230453,11995.477043415567,9683.033555166608,950.8070615000568,9342.191105555625,18980.94577055963,4505.431112851107,0,23486.376883410736
2025-06-21,True,1237.003166666668,1385.4054999999996,Optimal,False,0.0,21081.822935021297,1980.2666666666667,0.04335130000254139,33494.671074897116,12496.646574897117,9988.721625666665,675.6878910000001,12327.693616666667,19101.55626835463,1954.912600230668,0,21056.4688685853
2025-06-22,True,1385.4054999999996,1200.0,Optimal,False,1.6266049272639793e-16,44730.945371116664,1980.2666666666667,0.04031520000717137,69181.92881255144,17305.890959670778,14184.636627333333,3904.700808469134,2508.03418868313,42750.67870445,19985.419984266526,0,62736.09868871653
2025-06-23,True,1200.0,1200.0,Optimal,False,0.0,46712.56735239889,1980.2666666666667,0.0318598000012571,72519.19746666666,20648.98477366255,16725.677666666666,2228.917000000001,3763.521359670783,44732.30068573222,9780.876509033338,0,54513.17719476556
2025-06-24,True,1200.0,1250.1136851851868,Optimal,False,1.5617641547243678e-16,46588.068961459445,1980.2666666666667,0.03381870000157505,71721.6619537037,17827.03608333333,14394.796910833331,8661.362635462965,681.9931666666688,44607.80229479278,43017.81870064754,0,87625.62099544032
2025-06-25,True,1250.1136851851868,1200.0,Optimal,False,0.00019567120308605594,51926.8023876363,1980.2666666666667,0.018460999999661,80425.27261090535,20457.799999999992,16615.920316666667,523.044883333332,6669.016444238689,49946.53572096963,1686.4069258166685,0,51632.9426467863
2025-06-26,True,1200.0,1200.0,Optimal,False,0.0009247546181355126,48570.032370275,1980.2666666666667,0.019158900002366863,75787.93895,20908.68467078189,16936.034583333334,1436.724816666665,5704.6298458847705,46589.76570360833,5834.897999433329,0,52424.66370304166
